ID,roi,roi_areas,cal,stage,focus,genotype,Al_measure,Si_measure,P_measure,S_measure,Cl_measure,Ar_measure,K_measure,Ca_measure,Sc_measure,Ti_measure,V_measure,Cr_measure,Mn_measure,Fe_measure,Co_measure,Ni_measure,Cu_measure,Zn_measure
2_0028,1,60168.1,downstream,in_vivo_egg,cell,WT,-8910113.425,-590429258.4,5351959.715,1996065.286,469900.8274,-226404.8588,24611491.15,289306.2752,0,-31154.68117,0,-5234.083187,-13202.44551,259958.6828,-1692.528653,-14553.7007,-2293.066459,314889.7514
2_0029,1,58927.3,downstream,in_vivo_egg,cell,WT,5026227.624,591765.6248,5402903.89,2120167.719,689140.0417,-39194.31505,22228638.37,322576.1722,0,-9655.385423,0,1220.561165,2054.347104,249983.867,2959.299542,-3667.794079,11751.10538,356195.835
2_0030,1,55692.9,downstream,in_vivo_egg,cell,WT,2467362.549,-102452.6588,1469224.37,680956.5314,602520.8787,-79553.96608,12874949.79,216431.7987,0,-16348.12171,0,-7017.349954,739.4346333,105978.6877,-565.8231561,-4773.755909,10280.51949,331879.6384
2_0031,1,60888.2,downstream,in_vivo_egg,cell,WT,4327476.595,248271.6355,4317812.419,1661639.587,1309649.165,-85871.84622,19850956.86,234817.9006,0,-12829.5456,0,-4817.565716,74.892486,127618.0139,1473.269154,-5097.778078,12038.08425,323418.8168
2_0032,1,68481.6,downstream,in_vivo_egg,cell,WT,5618340.035,427029.3435,4386284.83,1717460.73,1174640.916,-56411.718,24296290.27,308505.773,0,-4717.498827,0,-3788.100793,2402.040057,149685.1638,5818.614474,-2453.556005,14200.07065,370943.8972
2_0032,2,55792.7,downstream,in_vivo_egg,cell,WT,4121853.091,275151.7427,2359236.722,1040603.931,983254.2795,-53497.94625,17708193.96,265354.7678,0,-3424.115164,0,-3383.085212,2468.921823,140256.8222,3348.850811,-1966.023999,15309.85164,287690.8379
2_0033,1,59833.3,downstream,in_vivo_egg,cell,WT,4927721.005,824827.1705,5543564.818,1963074.509,1405258.047,-68876.50496,23184386.88,315129.6056,0,-7001.860299,0,-3406.824335,1036.252923,128194.5206,4355.786457,-2920.122323,8084.136996,238103.8531
2_0034,1,60895,downstream,in_vivo_egg,cell,WT,5248101.606,497350.7782,3481606.65,1571188.128,1235054.122,-44601.9338,21748740.41,301515.2351,0,345.688736,0,2490.635947,5496.400969,145738.9074,7826.785634,-998.3613457,18391.37393,316669.7901
2_0038,1,55696,downstream,in_vivo_egg,cell,KO,4631836.423,593155.7165,2967663.892,1455332.693,1516277.929,-83431.49408,19915830.87,266435.3501,0,-6210.900453,0,-1096.086141,4199.110806,134495.8203,4467.504261,-1809.825034,20536.18456,282423.6722
2_0038,2,59402,downstream,in_vivo_egg,cell,KO,3514692.784,726360.5278,1851070.274,858592.4687,1069068.486,-80454.0688,14420013.17,227192.0375,0,-6811.526357,0,82.4618564,2210.372181,147518.3387,2773.616005,-1892.530672,20195.02862,245528.4904
2_0039,1,45594,downstream,in_vivo_egg,cell,KO,4472032.777,92738.196,3534963.46,1619288.236,1517899.946,-68802.71382,21932070.42,261623.1138,0,-11754.85814,0,-5468.284474,1228.439142,137750.3254,2805.895795,-3794.588006,16467.18498,289936.7644
2_0048,1,53136.9,downstream,in_vivo_egg,cell,KO,4723530.334,320840.0708,3875959.052,1664795.018,1825046.344,-58035.05944,21703433.42,283053.4116,0,-7938.020531,0,-2184.936191,3535.38925,139653.7629,5783.409569,-3143.47273,20501.06621,250226.8483
2_0049,1,58476.1,downstream,in_vivo_egg,cell,KO,4023319.413,518825.1039,3126690.168,1487320.306,1623916.383,-106696.0768,18411837.71,309579.8414,0,-9743.46321,0,-4406.630249,481.4337313,154843.1924,805.6837058,-3341.051212,18491.8971,280398.3729
2_0050,1,60187,downstream,in_vivo_egg,cell,KO,5738503.033,193122.0269,5356505.774,2291177.651,2169509.63,-123683.0813,25761431.13,356660.4581,0,-5195.775186,0,-2070.48095,4456.1552,171496.5971,6508.742554,-2654.655972,19193.21299,266236.3465
2_0051,1,51379.1,downstream,in_vivo_egg,cell,KO,5159105.42,609253.3678,4627711.94,2002856.48,2092238.131,-58950.83797,23746450.03,272350.8471,0,-6459.63221,0,-518.6617387,3539.228752,160477.3782,7319.271345,-2529.567782,23541.33845,228679.1824
2_0052,1,67142.9,downstream,in_vivo_egg,cell,KO,4648899.867,676095.4316,3993072.259,1731281.557,1400505.283,-58824.56612,20177386.69,264759.4947,0,-3664.491625,0,-3328.468267,3621.446312,151399.2294,965.6021878,-2303.378142,24833.78857,303450.3894
2_0053,1,66577,downstream,in_vivo_egg,cell,KO,5629749.788,127994.2825,5217630.169,2476295.763,1973701.796,-97637.83358,25063371.23,407257.5675,0,-6251.114261,0,-648.8927305,7413.255742,205709.3549,7972.629038,-2649.005622,23428.68598,393043.6443
2_0054,1,54614,downstream,in_vivo_egg,cell,KO,4672489.847,698614.0959,3018142.22,1537614.025,1657040.097,-84091.9065,20910845.56,300982.7239,0,-5076.29484,0,-2737.843511,2593.127334,189820.3506,4018.864034,-3239.570396,20028.9199,352874.8932
2_0055,1,69789.1,downstream,in_vivo_egg,cell,KO,4679645.29,416786.7862,2617869.398,1231809.718,1335364.878,-97425.5836,19506915.07,262626.7121,0,-16593.8241,0,-2019.696554,-446.1617163,217487.8899,676.1098219,-5239.569521,22113.65338,316543.5256
2_0055,2,61932.1,downstream,in_vivo_egg,cell,KO,4550287.638,148568.2954,3996370.032,1796319.504,1675894.393,-112475.5061,20425228.01,360837.967,0,-15257.40017,0,-4523.780699,1520.494987,155134.2747,2487.378932,-4752.337398,17641.35869,372404.2716
2_0066,1,38540.9,downstream,stage14_oocyte,cell,KO,1398356.35,158064.7099,1536069.152,939148.8494,-58148.12038,22988.49062,6834180.688,163444.8268,0,-5335.4172,0,-3841.090154,1259.824939,127044.1801,-1244.308373,-2952.020965,15136.3989,238217.364
2_0067,1,45604.7,downstream,stage14_oocyte,cell,KO,2140807.751,211565.6759,2735211.202,2155086.582,-47444.30239,-4471.540835,10320151.16,243219.5789,0,-4389.899301,0,-1017.906025,1745.902972,130577.0188,-757.5852764,-2751.187048,18539.95232,275071.6252
2_0068,1,72959,downstream,stage14_oocyte,cell,KO,848082.7119,-167958.1843,3899743.912,2425041.885,-35910.4198,-22888.69748,3635892.796,518563.0236,0,-7768.127128,0,-3243.983313,4482.593664,176766.9621,-2339.182274,-3641.871786,19335.08347,342973.0361
2_0069,1,39067,downstream,stage14_oocyte,cell,KO,2551707.985,67542.9363,3073336.429,1921239.661,-68611.53595,28742.76391,12773526.03,222385.3815,0,-8380.461412,0,-6450.887588,1084.031116,142831.7648,-1193.590611,-4536.626075,14946.17473,260220.2591
2_0070,1,42709,downstream,stage14_oocyte,cell,KO,1773316.118,-143049.5246,1472913.398,916374.9813,-76818.24389,19806.29875,8318679.642,152957.9272,0,-9831.70576,0,-4665.215113,607.108435,132953.8431,-2257.021169,-3835.837938,14830.01691,255288.9389
2_0071,1,46877.1,downstream,stage14_oocyte,cell,KO,722282.3568,-234537.3818,1489959.091,1154107.17,-9625.743714,-13963.75055,3951266.071,192905.1261,0,-9394.081774,0,-4206.113425,126.8025555,148484.6206,-3070.34692,-3709.51946,16491.87943,283180.0843
2_0072,1,41406.1,downstream,stage14_oocyte,cell,KO,863478.6688,-15978.61399,1474375.573,1129329.018,-48489.2345,-4574.131867,4002836.171,250428.6061,0,-6382.915939,0,-3834.507125,825.4720096,124147.7854,-1847.113699,-2394.756161,15847.06681,283901.6368
2_0073,1,43418.7,downstream,stage14_oocyte,cell,KO,2847541.628,98339.01363,2376676.681,1571904.998,-63654.02855,36392.68597,12679920.3,231814.1326,0,-8101.286823,0,-4635.818941,941.9686965,144755.9051,-472.1783625,-3074.964002,12390.39442,246764.9104
2_0074,1,39116.6,downstream,stage14_oocyte,cell,KO,1060572.287,4417085.589,2306456.338,3536143.769,-52887.59903,-9122.382286,5734528.374,355039.0035,0,-2754.958668,0,-1462.029865,2367.000229,129871.141,-834.8773288,-1604.397469,17720.64125,259984.273
2_0076,1,35501.8,downstream,stage14_oocyte,cell,KO,1805493.742,76612.17436,1943714.32,1140718.986,-54209.58002,25790.28261,8220141.09,163253.7137,0,-4965.604814,0,-3052.469615,1997.089856,126722.61,-176.3161395,-1613.323563,12133.94721,239659.4061
2_0076,2,62661.7,downstream,stage14_oocyte,cell,KO,232023.7428,-31072.05718,1110699.937,1654964.425,-53190.38405,-24423.65081,1659396.487,758374.0647,0,-8338.022715,0,-5752.13101,1174.267726,128999.7619,-2328.891008,-2711.239543,15895.58142,313216.8197
2_0090,1,9442.99,downstream,stage9-13_oocyte,focus,KO,759581.8397,-1219036.184,1528677.209,64797.79738,-27489.86591,-989.3420623,3067085.985,148685.6378,0,398.0730206,0,402.8200117,5629.008832,74208.54523,1252.402989,-60.60019947,16186.06391,277603.478
2_0090,2,19185,downstream,stage9-13_oocyte,focus,KO,1757301.875,-2513526.612,3505921.961,354385.32,21818.3331,7732.3224,7286794.901,130563.5175,0,22.112631,0,744.374163,6176.543603,126666.1922,2382.331908,-238.3454231,17506.74416,308414.9271
2_0090,3,37932,downstream,stage9-13_oocyte,cell,KO,1975305.107,-4942653.396,6111940.297,1677239.244,313773.8833,-73990.91784,8046678.268,768369.9373,0,1397.244186,0,121.9855188,7488.326814,170690.7985,2315.384453,-560.5541648,20019.01129,390499.9525
2_0090,4,33940,downstream,stage9-13_oocyte,cell,KO,3189467.378,-4423210.136,6096535.968,2387950.52,439842.3754,-41289.0282,13335986.5,303817.6434,0,-442.261958,0,1630.20608,7397.61331,181387.7685,4040.855672,-506.5316584,20068.50139,368915.4696
