Food_TPEN,Male_TPEN,Male_Zn,Female_TPEN,Female_Zn,Day1_egg,Day1_hatch,Day2_egg,Day2_hatch,Day3_egg,Day3_hatch,Mean_hatch,Mean_egg
50,50,0,0,0,30,0.833333333,31,1,26,0.923076923,0.91954023,29
50,50,0,0,0,30,0.9,0,,33,0.909090909,0.904761905,21
50,50,0,0,0,28,1,17,1,16,0.875,0.967213115,20.33333333
50,50,0,0,0,32,0.96875,17,1,20,1,0.985507246,23
50,50,0,50,0,31,1,23,0.956521739,19,0.473684211,0.849315068,24.33333333
50,50,0,50,0,31,0.935483871,22,0.863636364,23,0,0.631578947,25.33333333
50,50,0,50,0,29,1,19,0.894736842,2,1,0.96,16.66666667
50,50,0,50,0,28,0.857142857,19,0.684210526,20,0.65,0.746268657,22.33333333
50,50,0,50,0,33,0.818181818,19,0.947368421,27,0.222222222,0.64556962,26.33333333
50,0,0,50,50,20,0.8,21,1,22,0.954545455,0.920634921,21
50,0,0,50,50,21,0.857142857,26,1,28,0.964285714,0.946666667,25
50,0,0,50,50,25,1,33,0.848484848,19,1,0.935064935,25.66666667
50,0,0,50,50,33,0.909090909,30,1,27,1,0.966666667,30
50,0,0,50,50,32,0.71875,26,1,18,1,0.881578947,25.33333333
50,0,0,50,50,24,0.708333333,19,1,17,1,0.883333333,20
50,0,0,50,50,20,0.6,0,,14,0,0.352941176,11.33333333
50,0,0,50,50,28,0.892857143,23,1,34,0.882352941,0.917647059,28.33333333
50,0,0,50,50,22,0.909090909,23,0.913043478,30,0.933333333,0.92,25
50,50,50,0,0,25,0.92,35,0.971428571,24,1,0.964285714,28
50,50,50,0,0,31,0.967741935,32,0.9375,24,0.958333333,0.954022989,29
50,50,50,0,0,20,0.85,25,0.88,24,1,0.913043478,23
50,50,50,0,0,25,0.96,30,1,23,0.956521739,0.974358974,26
50,50,50,0,0,31,1,17,0.941176471,11,0.818181818,0.949152542,19.66666667
50,50,50,0,0,23,1,25,0.88,27,1,0.96,25
50,50,50,0,0,29,0.965517241,34,0.941176471,11,1,0.959459459,24.66666667
50,50,50,0,0,21,0.761904762,22,0.954545455,16,0.9375,0.881355932,19.66666667
50,50,50,0,0,21,0.857142857,0,,35,1,0.946428571,18.66666667
